2024-10-29 09:40:51,567 INFO    StreamThr :614111 [internal.py:wandb_internal():85] W&B internal server running at pid: 614111, started at: 2024-10-29 09:40:51.566997
2024-10-29 09:40:51,568 DEBUG   HandlerThread:614111 [handler.py:handle_request():158] handle_request: status
2024-10-29 09:40:51,570 INFO    WriterThread:614111 [datastore.py:open_for_write():87] open: /home/zeddo123/anom/RD4AD/wandb/run-20241029_094051-zt7ud2tz/run-zt7ud2tz.wandb
2024-10-29 09:40:51,571 DEBUG   SenderThread:614111 [sender.py:send():391] send: header
2024-10-29 09:40:51,571 DEBUG   SenderThread:614111 [sender.py:send():391] send: run
2024-10-29 09:40:52,041 INFO    SenderThread:614111 [dir_watcher.py:__init__():211] watching files in: /home/zeddo123/anom/RD4AD/wandb/run-20241029_094051-zt7ud2tz/files
2024-10-29 09:40:52,041 INFO    SenderThread:614111 [sender.py:_start_run_threads():1200] run started: zt7ud2tz with start time 1730194851.566981
2024-10-29 09:40:52,043 DEBUG   HandlerThread:614111 [handler.py:handle_request():158] handle_request: check_version
2024-10-29 09:40:52,043 DEBUG   SenderThread:614111 [sender.py:send_request():418] send_request: check_version
2024-10-29 09:40:52,154 DEBUG   HandlerThread:614111 [handler.py:handle_request():158] handle_request: run_start
2024-10-29 09:40:52,160 DEBUG   HandlerThread:614111 [system_info.py:__init__():26] System info init
2024-10-29 09:40:52,160 DEBUG   HandlerThread:614111 [system_info.py:__init__():41] System info init done
2024-10-29 09:40:52,160 INFO    HandlerThread:614111 [system_monitor.py:start():194] Starting system monitor
2024-10-29 09:40:52,160 INFO    SystemMonitor:614111 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-10-29 09:40:52,160 INFO    HandlerThread:614111 [system_monitor.py:probe():214] Collecting system info
2024-10-29 09:40:52,160 INFO    SystemMonitor:614111 [interfaces.py:start():188] Started cpu monitoring
2024-10-29 09:40:52,161 INFO    SystemMonitor:614111 [interfaces.py:start():188] Started disk monitoring
2024-10-29 09:40:52,161 INFO    SystemMonitor:614111 [interfaces.py:start():188] Started gpu monitoring
2024-10-29 09:40:52,161 INFO    SystemMonitor:614111 [interfaces.py:start():188] Started memory monitoring
2024-10-29 09:40:52,162 INFO    SystemMonitor:614111 [interfaces.py:start():188] Started network monitoring
2024-10-29 09:40:52,171 DEBUG   HandlerThread:614111 [system_info.py:probe():152] Probing system
2024-10-29 09:40:52,173 DEBUG   HandlerThread:614111 [system_info.py:_probe_git():137] Probing git
2024-10-29 09:40:52,176 DEBUG   HandlerThread:614111 [system_info.py:_probe_git():145] Probing git done
2024-10-29 09:40:52,176 DEBUG   HandlerThread:614111 [system_info.py:probe():200] Probing system done
